gene	AF5	AF4	AF3	AF2	FUNC	SYN
AC097658.1	1	0	0	0	2	0
AC099344.1	0	1	1	0	2	0
AC099522.1	0	0	0	1	1	0
AC099552.4	9	4	2	2	36	16
AC103801.2	4	1	0	0	8	0
AC103809.2	1	0	0	0	2	0
AC104024.2	1	1	0	0	3	0
AC104057.1	46	19	9	3	77	22
AC104113.3	0	0	0	0	2	0
AC104472.1	26	5	1	0	43	19
AC104532.2	0	1	0	0	2	0
AC104667.3	22	1	2	2	49	17
AC104794.4	16	5	2	0	61	17
AC104809.2	0	0	0	0	1	0
AC104809.3	392	94	26	11	840	328
AC104809.4	0	0	0	0	1	0
AC104841.2	0	2	1	0	3	2
AC105020.1	20	9	0	0	51	17
AC105461.1	0	0	0	0	2	0
AC106786.1	0	0	0	0	2	0
AC106873.4	9	3	0	0	31	10
AC106876.2	16	3	2	0	43	14
AC107021.1	4	3	2	0	27	7
AC108004.3	0	0	0	0	1	0
AC108868.1	2	0	0	0	2	0
AC109583.1	0	2	1	0	3	0
AC109828.1	0	0	0	0	3	0
AC109829.1	32	4	3	1	94	31
AC110615.1	4	1	0	0	8	0
AC110619.2	54	13	5	1	144	56
AC110771.1	0	0	2	3	5	2
AC110781.3	49	11	3	3	145	53
AC111200.1	2	1	0	0	3	1
AC112205.1	0	0	0	0	1	0
AC112693.2	25	7	1	2	68	31
AC112715.2	6	1	1	0	23	13
AC112721.1	25	2	3	0	72	25
AC113189.5	0	0	0	0	1	0
AC114494.1	15	4	0	1	40	11
AC114546.1	15	2	4	0	35	9
AC114730.7	1	0	0	0	1	0
AC114783.1	52	15	1	4	133	21
AC114803.3	0	0	0	0	1	0
AC114812.5	0	0	0	0	1	0
AC114812.8	0	0	0	0	1	0
AC115618.1	37	6	1	0	61	26
AC116407.2	0	0	0	1	1	1
AC117834.1	10	2	1	0	23	10
AC119673.1	0	3	0	2	5	2
AC120194.1	14	0	0	0	14	5
AC121757.1	8	0	0	0	11	2
AC124057.5	1	0	0	0	2	0
AC124890.1	9	7	0	0	38	17
AC125232.1	2	2	0	0	4	0
AC126614.1	0	0	0	0	0	1
AC127496.1	28	5	3	3	41	12
AC129492.6	21	5	3	1	103	32
AC131097.4	26	2	3	1	58	24
AC131180.1	1	0	0	0	2	0
AC131971.1	15	3	1	0	31	10
AC132186.1	30	8	1	2	77	35
AC132216.1	22	2	0	0	36	19
AC132872.2	0	0	0	1	1	0
AC135048.1	16	5	0	1	62	20
AC135178.1	11	2	1	0	39	18
AC135983.2	0	0	2	2	4	1
AC136297.1	0	1	0	0	1	1
AC136604.1	92	25	10	1	206	51
AC137056.1	0	0	0	1	1	0
AC137932.1	61	9	4	0	81	24
AC138393.1	0	0	0	0	0	1
AC138517.1	0	0	0	1	1	0
AC138647.1	44	8	2	0	68	29
AC138655.1	0	0	0	0	0	1
AC139100.2	6	7	2	0	15	9
AC139426.2	15	6	1	0	22	3
AC140061.12	0	0	0	1	1	0
AC140481.2	21	9	2	1	45	23
AC142381.1	14	7	1	0	57	18
AC144568.2	1	4	1	0	6	1
AC145676.2	33	11	2	3	96	38
AC174470.1	24	5	0	0	87	28
AC187652.1	7	17	16	7	47	12
AC226150.4	20	2	0	0	44	20
ACAA1	85	13	1	3	268	100
ACAA2	61	9	2	1	260	64
ACACA	113	18	2	0	642	427
ACACB	461	61	8	7	1529	654
ACAD10	222	29	12	1	760	253
ACAD11	111	27	6	5	487	164
ACAD8	90	12	5	2	322	115
ACAD9	125	12	3	2	456	160
ACADL	64	13	2	2	243	63
ACADM	79	9	4	1	287	68
ACADS	100	16	1	3	299	123
ACADSB	83	12	1	3	271	84
ACADVL	150	17	9	2	563	169
ACAN	412	83	27	23	1350	568
ACAP1	115	12	3	1	335	150
ACAP2	70	15	2	2	283	141
ACAP3	146	13	4	1	463	260
ACAT1	55	6	0	2	246	82
ACAT2	60	5	1	1	240	83
ACBD3	50	8	2	1	200	98
ACBD4	74	14	2	1	263	41
ACBD5	70	14	1	2	280	111
ACBD6	33	2	0	0	163	62
ACBD7	16	1	2	0	52	22
ACCS	86	22	4	2	332	97
ACCSL	108	12	6	1	362	137
ACD	109	9	3	1	417	159
ACE	357	67	16	8	1063	436
ACE2	87	12	3	1	232	86
ACER1	49	7	3	1	170	71
ACER2	53	2	2	1	204	73
ACER3	26	7	0	1	122	50
ACHE	75	8	7	2	272	185
ACIN1	177	26	3	5	656	327
ACKR2	60	9	4	2	234	93
ACKR3	61	10	3	0	187	111
ACKR4	49	6	4	0	181	65
ACLY	124	13	4	1	470	243
ACMSD	61	11	1	0	222	76
ACN9	20	5	1	1	103	35
ACO1	138	14	6	0	524	198
ACO2	79	12	1	0	343	211
ACOT1	87	14	6	2	188	60
ACOT11	145	24	8	8	469	167
ACOT12	115	14	2	2	360	106
ACOT13	21	9	1	0	104	22
ACOT2	103	13	6	5	335	128
ACOT4	78	11	3	5	257	93
ACOT6	23	3	2	1	92	34
ACOT7	68	3	0	0	242	144
ACOT8	76	20	4	1	273	69
ACOT9	59	10	2	1	173	50
ACOX1	93	11	3	4	343	138
ACOX2	135	24	3	0	465	161
ACOX3	162	28	3	3	532	207
ACOXL	125	25	10	5	379	133
ACP1	41	5	2	2	180	46
ACP2	91	6	3	2	299	109
ACP5	59	12	5	2	210	71
ACP6	58	15	2	4	257	93
ACPL2	82	12	1	0	279	124
ACPP	67	10	4	0	277	95
ACPT	100	9	0	4	320	138
ACR	92	14	2	2	245	133
ACRBP	87	10	4	0	328	120
ACRC	110	14	3	0	252	121
ACRV1	38	5	2	1	140	55
ACSBG1	131	14	4	2	424	208
ACSBG2	114	20	6	7	418	156
ACSF2	97	13	7	1	328	121
ACSF3	177	21	7	4	560	219
ACSL1	92	19	2	0	383	173
ACSL3	79	15	1	0	317	163
ACSL4	56	3	0	0	147	89
ACSL5	98	13	4	1	421	154
ACSL6	93	14	3	1	372	187
ACSM1	116	21	7	2	396	125
ACSM2A	133	33	7	6	499	148
ACSM2B	137	29	10	4	526	170
ACSM3	99	14	10	1	376	104
ACSM4	94	23	5	1	332	106
ACSM5	114	24	14	7	447	166
ACSS1	106	19	5	1	387	216
ACSS2	120	14	4	1	398	102
ACSS3	109	9	2	1	421	165
ACTA1	13	0	0	0	78	102
ACTA2	17	0	0	0	97	71
ACTB	5	1	0	0	28	197
ACTBL2	86	11	7	0	285	84
ACTC1	7	0	0	0	46	90
ACTG1	37	6	2	3	155	271
ACTG2	37	1	0	0	155	91
ACTL10	63	7	2	0	194	73
ACTL6A	26	5	0	1	125	80
ACTL6B	19	1	1	0	138	115
ACTL7A	93	11	3	2	305	140
ACTL7B	76	7	3	0	290	137
ACTL8	57	9	5	1	224	127
ACTL9	71	17	1	4	304	134
ACTN1	106	8	1	2	441	246
ACTN2	126	20	3	0	468	216
ACTN3	261	39	14	5	665	229
ACTN4	91	5	3	1	302	285
ACTR10	60	13	1	0	211	69
ACTR1A	19	1	0	0	109	65
ACTR1B	65	4	2	2	226	107
ACTR2	7	0	2	0	83	63
ACTR3	9	2	0	0	80	69
ACTR3B	23	3	0	0	117	92
ACTR3C	63	9	4	3	196	63
ACTR5	101	10	5	3	359	153
ACTR6	50	8	1	0	189	70
ACTR8	85	7	1	1	341	127
ACTRT1	83	12	4	1	213	63
ACTRT2	77	8	2	2	276	138
ACTRT3	46	5	2	2	222	69
ACVR1	33	2	0	1	191	109
ACVR1B	56	3	1	0	195	138
ACVR1C	42	5	1	1	210	102
ACVR2A	25	1	1	0	127	99
ACVR2B	47	5	1	0	204	151
ACVRL1	66	14	1	2	239	159
ACY1	90	17	4	1	314	85
ACY3	76	8	4	1	235	84
ACYP1	29	4	2	1	84	23
ACYP2	26	4	4	0	106	41
AD000090.2	1	0	1	0	3	0
AD000671.6	1	2	0	0	8	0
ADA	66	9	1	2	239	93
ADAD1	70	8	1	0	279	93
ADAD2	178	38	6	4	612	292
ADAL	45	2	5	0	180	62
ADAM10	54	9	1	1	264	150
ADAM11	94	12	1	0	344	145
ADAM12	151	22	3	3	505	214
ADAM15	156	26	7	2	561	160
ADAM17	95	7	3	2	336	175
ADAM18	128	21	10	2	494	160
ADAM19	142	25	8	6	500	218
ADAM2	121	28	7	0	488	147
ADAM20	134	21	3	0	483	150
ADAM21	117	22	6	5	416	177
ADAM22	109	13	5	4	429	192
ADAM23	93	14	4	0	375	135
ADAM28	142	28	10	4	595	136
ADAM29	136	24	5	2	511	171
ADAM30	137	11	3	2	472	182
ADAM32	131	28	5	4	450	141
ADAM33	144	29	5	6	487	168
ADAM3A	2	0	0	0	3	0
ADAM7	122	40	4	3	520	157
ADAM8	266	45	12	7	627	201
ADAM9	89	8	4	1	380	157
ADAMDEC1	78	12	7	2	319	101
ADAMTS1	132	21	5	5	547	243
ADAMTS10	149	20	8	5	527	272
ADAMTS12	240	24	11	8	928	351
ADAMTS13	273	39	13	6	872	357
ADAMTS14	270	38	10	6	826	331
ADAMTS15	173	21	9	2	595	287
ADAMTS16	196	37	10	7	741	317
ADAMTS17	276	44	9	4	838	390
ADAMTS18	259	49	12	7	1041	401
ADAMTS19	121	28	3	3	500	210
ADAMTS2	199	42	10	4	680	345
ADAMTS20	307	40	10	3	1213	344
ADAMTS3	186	15	7	3	700	232
ADAMTS4	160	26	7	3	509	221
ADAMTS5	162	16	4	6	530	271
ADAMTS6	97	21	6	0	450	215
